26619874054 66538459@N00 Forrest of Nicene Mark Waterfall 1463905140 beautiful dressing wife 37.044322-121.900348
26921818010 66538459@N00 Serrena at beach 1463894340  36.970809-121.954464
5529411093 66538459@N00 Safari West 1299926340 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.567902-122.700489
5529410795 66538459@N00 Safari West 1299926340 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.568011-122.700367
5529998688 66538459@N00 Safari West 1299926220 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.567066-122.700723
5529998344 66538459@N00 Safari West 1299926100 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.566683-122.701056
5529409839 66538459@N00 Safari West 1299925980 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.566683-122.701059
5529409457 66538459@N00 Safari West 1299925380 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.56368-122.701181
5529997328 66538459@N00 Safari West 1299925260 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.563538-122.701137
5529996994 66538459@N00 Safari West 1299925140 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.56355-122.701134
5529408525 66538459@N00 Safari West 1299924660 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.560394-122.706062
5529996106 66538459@N00 Safari West 1299924360 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.5605-122.706025
5529407611 66538459@N00 Safari West 1299924240 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.561099-122.703712
5529995252 66538459@N00 Safari West 1299924120 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.561105-122.703692
5529994904 66538459@N00 Safari West 1299924060 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.561655-122.701387
5529406425 66538459@N00 Safari West 1299924060 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.561647-122.701181
5529994218 66538459@N00 Safari West 1299923580 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.559202-122.699612
5529405687 66538459@N00 Safari West 1299923520 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.558813-122.699112
5529993564 66538459@N00 Safari West 1299922500 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.557827-122.69777
5529405147 66538459@N00 Safari West 1299922500 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.557877-122.697387
5529993008 66538459@N00 Safari West 1299922440 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.557986-122.697084
5529992666 66538459@N00 Safari West 1299922440 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.557994-122.697084
5529992422 66538459@N00 Safari West 1299922260 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.557994-122.697089
5529404001 66538459@N00 Safari West 1299922200 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.557991-122.697089
5529991858 66538459@N00 Safari West 1299922200 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.557991-122.697089
5529991658 66538459@N00 Safari West 1299921720 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.558472-122.697045
5529991480 66538459@N00 Safari West 1299921000 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.557308-122.695964
5529403111 66538459@N00 Safari West 1299920880 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.557288-122.695975
5529990968 66538459@N00 Safari West 1299920820 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.557411-122.695975
5529990692 66538459@N00 Safari West 1299920760 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.557411-122.69597
5529402117 66538459@N00 Safari West 1299920760 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.557411-122.69597
5529401741 66538459@N00 Safari West 1299920100 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.557491-122.695595
5529401421 66538459@N00 Safari West 1299920040 park wild west animal canon private zoo bay is san francisco safari area l gps 70300 50d geoencoded 38.557491-122.695595

5495610354 66538459@N00 Garin Park 1299132780  37.62865-122.029114
5495608072 66538459@N00 Garin Park 1299132660  37.628652-122.0291
5495606576 66538459@N00 Garin Park 1299132540  37.628627-122.029123
5495012383 66538459@N00 Garin Park 1299130920  37.624986-122.0265
5495602060 66538459@N00 Garin Park 1299128520  37.613461-122.020064
5495600614 66538459@N00 Garin Park 1299128100  37.616688-122.022348
5495598742 66538459@N00 Garin Park 1299126660  37.627169-122.028395
5495597992 66538459@N00 Garin Park 1299126480  37.628186-122.028878

5474507328 66538459@N00 Alameda Creek Trail to Coyote Hills 1298459400  37.577508-122.0252
5473908505 66538459@N00 Urban Beauty 1298459340  37.577502-122.025195
5474503468 66538459@N00 Alameda Creek Trail to Coyote Hills 1298459220  37.578575-122.026237
5474501576 66538459@N00 Alameda Creek Trail to Coyote Hills 1298458440  37.584236-122.031867
5473903091 66538459@N00 Alameda Creek Trail to Coyote Hills 1298458440  37.584236-122.031867
5473900321 66538459@N00 Alameda Creek Trail to Coyote Hills 1298458440  37.584238-122.031867
5473896993 66538459@N00 Alameda Creek Trail to Coyote Hills 1298458260  37.584641-122.032281
5473894657 66538459@N00 Alameda Creek Trail to Coyote Hills 1298457900  37.586916-122.036898
5474490428 66538459@N00 Alameda Creek Trail to Coyote Hills 1298456340  37.578541-122.054403
5474488732 66538459@N00 Alameda Creek Trail to Coyote Hills 1298456340  37.578541-122.054403
5473890879 66538459@N00 Alameda Creek Trail to Coyote Hills 1298456340  37.578541-122.054403
5473889933 66538459@N00 Alameda Creek Trail to Coyote Hills 1298455800  37.575444-122.058328
5474484826 66538459@N00 Alameda Creek Trail to Coyote Hills 1298455800  37.575383-122.058395
5474483590 66538459@N00 Alameda Creek Trail to Coyote Hills 1298455620  37.573894-122.059653
5474483230 66538459@N00 Alameda Creek Trail to Coyote Hills 1298455560  37.573888-122.059653
5474482878 66538459@N00 Alameda Creek Trail to Coyote Hills 1298455500  37.573719-122.059828
5473884921 66538459@N00 Alameda Creek Trail to Coyote Hills 1298451480  37.557766-122.093381
5474480324 66538459@N00 Alameda Creek Trail to Coyote Hills 1298451000  37.557897-122.093339

5434463551 66538459@N00 Lens Test 1297322460 california park portrait test canon zoom fremont ii l 580ex 456 70300 shinn 50d 37.565164-121.980568
5079670872 66538459@N00 Montreal 2010 1275211380 vacation canada nature beautiful weather canon garden french landscape botanical architechture montreal wildlife 2010 50d 45.513805-73.547801

4321423884 66538459@N00 Dutch Oven Dessert 1264858020 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4320690421 66538459@N00 Coal starters and dutch ovens 1264857240 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321422650 66538459@N00 Coal starters and dutch oven 1264857180 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321422050 66538459@N00 Coal starters and dutch ovens 1264857180 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4320688277 66538459@N00 Coal starters and dutch ovens 1264857180 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321420360 66538459@N00 Coal starters and dutch ovens 1264857120 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4320686793 66538459@N00 Peter carving the turkey 1264856880 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321419348 66538459@N00 Turkey carving 1264856820 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321418068 66538459@N00 Filling the turkey ovens 1264855980 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4320684011 66538459@N00 IMG_8625 1264855860 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4320683113 66538459@N00 Outdoor turkey oven 1264855860 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321415050 66538459@N00 Webelos visiting Troop 103 1264855800 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4320681179 66538459@N00 Preparing the cobblers 1264855440 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4320680183 66538459@N00 Turkey cooking 1264845420 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321411642 66538459@N00 Serrena 1264845240 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321410264 66538459@N00 Boys playing games 1264845120 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321409276 66538459@N00 Memorial Park in San Mateo County 1264844760 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321407464 66538459@N00 Memorial Park in San Mateo County 1264844760 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4320673759 66538459@N00 Serrena in Forest 1264844700 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321404648 66538459@N00 IMG_8553 1264844340 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321403624 66538459@N00 Spider web 1264844220 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4320669969 66538459@N00 Tug of war 1264844160 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4320668819 66538459@N00 Tug of war 1264844160 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321400224 66538459@N00 Memorial Park Road 1264844100 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321398690 66538459@N00 IMG_8539 1264843800 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321397704 66538459@N00 Pat protecting the flag 1264843740 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4320664031 66538459@N00 Adults playing the game 1264843680 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321395236 66538459@N00 IMG_8532 1264843560 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4320661765 66538459@N00 IMG_8530 1264843500 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321392860 66538459@N00 Peter hanging a turkey 1264843320 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4321391740 66538459@N00 Top of turkey oven 1264843260 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4320657945 66538459@N00 Tie the turkey up 1264843140 california park county camping boy memorial san fremont scouts campout mateo 103 troop webelos 37.277331-122.297658
4320656943 66538459@N00 Start of cooking process 1264843080 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320655803 66538459@N00 IMG_8519 1264843020 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321387368 66538459@N00 IMG_8518 1264843020 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320653519 66538459@N00 Peter hanging another turkey 1264842720 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321384652 66538459@N00 Watching the turkey ovens prepared 1264842720 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320650209 66538459@N00 Coal starter 1264842660 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321381720 66538459@N00 IMG_8493 1264842420 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321381122 66538459@N00 Turkey oven 1264842360 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321379544 66538459@N00 Turkey oven 1264842360 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321374760 66538459@N00 IMG_8476 1264842300 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321373398 66538459@N00 IMG_8473 1264842300 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320637453 66538459@N00 IMG_8467 1264842000 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321366978 66538459@N00 Troop 103 trailer in forest 1264841880 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321365810 66538459@N00 Troop 103 trailer in forest 1264841820 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320631843 66538459@N00 Memorial park 1264841640 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321363476 66538459@N00 Webelos parents 1264841580 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320630289 66538459@N00 Turkey ovens 1264841280 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321362200 66538459@N00 IMG_8450 1264838460 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321360580 66538459@N00 Ben and Jarra 1264837320 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321359904 66538459@N00 WWebelos dads going at it 1264834800 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321358644 66538459@N00 Webelos dads fighting it out 1264834740 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321357196 66538459@N00 Joey running station 1264834200 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321356742 66538459@N00 IMG_8429 1264833780 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321355790 66538459@N00 Spider web station 1264832340 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320621997 66538459@N00 Troop 103 at Joey's station 1264832340 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321353010 66538459@N00 Jarra and Ben 1264832220 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321352282 66538459@N00 Charlie 1264832040 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320619287 66538459@N00 IMG_8419 1264832040 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321349966 66538459@N00 Brad running meeting 1264831920 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320616765 66538459@N00 Brad running meeting 1264831920 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320615457 66538459@N00 IMG_8412 1264831860 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321347138 66538459@N00 Yohannes 1264831800 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321346264 66538459@N00 Serrena 1264831740 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321345266 66538459@N00 IMG_8405 1264831740 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321344096 66538459@N00 IMG_8400 1264831380 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321342702 66538459@N00 Turkey ovens 1264831260 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320608629 66538459@N00 IMG_8395 1264830960 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320607737 66538459@N00 IMG_8392 1264830900 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320606637 66538459@N00 Slime mold 1264827480 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320605793 66538459@N00 Slime mold 1264827420 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320604929 66538459@N00 Slime mold 1264827360 california park county camping boy macro ex canon memorial san d flash scout fremont ring ii scouts 100 28 campout 50 mateo 103 troop 104 webelos 580 37.277331-122.297658
4321335800 66538459@N00 Slime mold 1264827240 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321335210 66538459@N00 Ryan stamping leather 1264826760 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320601565 66538459@N00 IMG_8372 1264826340 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320600341 66538459@N00 Serrena 1264826160 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321330844 66538459@N00 Pat 1264826160 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321328848 66538459@N00 Ryan 1264826160 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321327476 66538459@N00 IMG_8355 1264825860 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4321326360 66538459@N00 Turkey cooking 1264825500 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320593111 66538459@N00 Building turkey oven 1264825380 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658
4320592511 66538459@N00 Turkey oven framework 1264825320 california park county camping boy memorial san scout fremont scouts campout mateo 103 troop 104 webelos 37.277331-122.297658

4045242336 66538459@N00 Mount Wittenberg 1256457360 boy bay san francisco mt fremont mount scouts area rim 103 wittenberg troop 38.028763-122.802878
4045241082 66538459@N00 Mount Wittenberg 1256457120 boy bay san francisco mt fremont mount scouts area rim 103 wittenberg troop 38.02975-122.803437
4044493169 66538459@N00 Mount Wittenberg 1256456760 boy bay san francisco mt fremont mount scouts area rim 103 wittenberg troop 38.02953-122.806275
4045236376 66538459@N00 Mount Wittenberg 1256456700 boy bay san francisco mt fremont mount scouts area rim 103 wittenberg troop 38.02953-122.806275
4044490103 66538459@N00 Mount Wittenberg 1256456640 boy bay san francisco mt fremont mount scouts area rim 103 wittenberg troop 38.029688-122.806809
4044486713 66538459@N00 Mount Wittenberg 1256456580 boy bay san francisco mt fremont mount scouts area rim 103 wittenberg troop 38.029641-122.80685
4044483235 66538459@N00 Mount Wittenberg 1256452980 boy bay san francisco mt fremont mount scouts area rim 103 wittenberg troop 38.0406-122.830575
4044481489 66538459@N00 Mount Wittenberg 1256451300 boy bay san francisco mt fremont mount scouts area rim 103 wittenberg troop 38.039202-122.826475
4044477465 66538459@N00 Mount Wittenberg 1256451240 boy bay san francisco mt fremont mount scouts area rim 103 wittenberg troop 38.038872-122.826134
4045216930 66538459@N00 Mount Wittenberg 1256450460 boy bay san francisco mt fremont mount scouts area rim 103 wittenberg troop 38.035866-122.825837
4044466851 66538459@N00 Mount Wittenberg 1256450340 boy bay san francisco mt fremont mount scouts area rim 103 wittenberg troop 38.036008-122.825823

4033968584 66538459@N00 Wunderlich State Park 1255774440  37.411861-122.267212
3854446612 66538459@N00 Moss landing 1251030180 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.803358-121.787117
3854443282 66538459@N00 Moss landing 1251024660 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.803625-121.787078
3853652103 66538459@N00 Sea otter 1251020400 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813266-121.775139
3853650901 66538459@N00 Sea otter 1251020400 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813302-121.775114
3853649509 66538459@N00 Seagull stealing from sea otter 1251020400 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813316-121.775106
3854434324 66538459@N00 Brown pelican 1251020100 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813611-121.772775
3853643027 66538459@N00 Brown pelican 1251020100 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813613-121.772781
3854430004 66538459@N00 Brown pelican 1251020100 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813613-121.772784
3853638979 66538459@N00 Brown pelican 1251020100 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813616-121.7728
3853635423 66538459@N00 Brown pelicans 1251020040 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813627-121.77285
3853631961 66538459@N00 Brown pelicans 1251020040 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813627-121.77285

3854417126 66538459@N00 Snowy egret 1251009180 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.827394-121.741834
3853627369 66538459@N00 Snowy egret 1251009180 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.827313-121.741845
3854414220 66538459@N00 Snowy egret 1251009180 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.827313-121.741845
3853623143 66538459@N00 Snowy egret 1251009180 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.827308-121.741845
3853619607 66538459@N00 Snowy egret 1251009180 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.827172-121.741864
3853611843 66538459@N00 Debi and John 1251008880 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.824747-121.742773
3854399248 66538459@N00 Val and Greg 1251008880 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.824713-121.742812
3853608099 66538459@N00 Snowy egret in flight 1251008460 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.820358-121.743637
3853607203 66538459@N00 Snowy egret in flight 1251008460 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.820358-121.743637
3854394880 66538459@N00 Snowy egret in flight 1251008460 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.820358-121.743637
3854393944 66538459@N00 Snowy egret in flight 1251008460 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.820352-121.743639
3854393246 66538459@N00 Snowy egret in flight 1251008460 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.820352-121.743639

3853603359 66538459@N00 Power dive for fish 1251007200 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813649-121.754592
3854391998 66538459@N00 Power dive for fish 1251007200 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813649-121.754592
3854391186 66538459@N00 Power dive for fish 1251007200 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813647-121.754606
3854389804 66538459@N00 Power dive for fish 1251007200 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813597-121.755048
3853599817 66538459@N00 Power dive for fish 1251007200 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813597-121.755048
3853598743 66538459@N00 Ben and Serrena in kayaks 1251007080 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813486-121.756
3853595075 66538459@N00 Val and Greg 1251006900 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813333-121.758578
3853593427 66538459@N00 Debi and John 1251006900 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813308-121.758667
3853591285 66538459@N00 Ben at front of kayak 1251006600 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813216-121.763423
3853585549 66538459@N00 Debi and John 1251006600 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813286-121.763595
3853578697 66538459@N00 Pelicans 1251006540 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813608-121.764373
3854357698 66538459@N00 Debi and John 1251006060 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813872-121.769159
3854355992 66538459@N00 Jellyfish 1251005940 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.813002-121.770439
3853566303 66538459@N00 Greg and Val 1251005940 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.812844-121.770706
3854353612 66538459@N00 Seal 1251005820 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.812408-121.772331
3854351784 66538459@N00 Seal 1251005820 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.812408-121.772339
3853559717 66538459@N00 Val, Serrena, Greg, Debi, John 1251005460 ocean california nature canon bay monterey moss pacific wildlife landing kayaking handheld gps northern tamron slough vc elkhorn geotaged 50d 18270 36.812308-121.774984

3787643483 66538459@N00 Yohannes and Alissa Wedding 1247634900 family wedding friends sunset beach ceremony july alissa malibu reception 12 2009 vows restauraunt yohannes 17.984166-87.921334
3788451636 66538459@N00 Yohannes and Alissa Wedding 1247634720 family wedding friends sunset beach ceremony july alissa malibu reception 12 2009 vows restauraunt yohannes 17.984166-87.921334
